example	label	target	dataset
i am really sick of these retarded liberal scumbag cucks that want to destroy america	hate	{'Other', 'Men'}	gab
fucking toxic weird ass retarded bitch	hate	{'None', 'Other', 'Women'}	twitter
we need to purge all sand niggers from white countries i am so done with all this	hate	{'Men', 'None', 'Arab', 'African', 'Women', 'Islam'}	gab
white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea	hate	{'Islam', 'Arab'}	gab
can not really compare seasoned battlefield sand niggers who will die for their cause to soy fed scrawny little clerk boy they tortured weev they most certainly completely fucked mannings mind	hate	{'Men', 'Women', 'Islam', 'Arab'}	gab
the racist and negro believe they should have an opinion and shouldn ’ t be opposed nah black gonna get at that negro rb	hate	{'African'}	twitter
i am one of those female misogynists feminists do not confine their foul cunt behavior to men they also treat other women with the same condescending disrespect always meet passive aggression with verbal aggressive aggression these bitches have to learn there a cost	hate	{'Other', 'Women'}	gab
i respect equality so much i beat women so they can have the same punishment men get 💯	hate	{'Women', 'Men'}	twitter
the more these liberal scum are raped and buggered the more my smile widens it is their just desserts for inflicting their filth on sociey and i sincerely hope more liberal fucktards and politicians are raped and murdered by third world animals they bring to the west karma	hate	{'Refugee', 'Other'}	gab
imagine getting jumped by chinese niggas and you hear “ cough on him ”	hate	{'Asian', 'African'}	twitter
faggots are pedophiles that how the recruit fags	hate	{'Homosexual'}	gab
based on your logic we should be hanging niggers today too	hate	{'Other', 'African'}	gab
yeah but what the f happened to them alu snack bar or some nonsense like that we can only expect the the mussie call to prayer now all	hate	{'Islam'}	gab
<user> nope muslims cry so often because their mothers get fucked a zillion times in the ass that too by a hairy maulana	hate	{'Women', 'Islam'}	twitter
i fucking hate fags	hate	{'Homosexual'}	twitter
<user> gemini as a whole here ’ a msg i hate you	hate	{'None', 'Other'}	twitter
i ’ m tryna stop the violence but i can ’ t help but kill these hoes	hate	{'Women'}	twitter
do you have any good examples all i see is wherever blacks move in you get a ghetto wherever whites or asians move in you get gentrification do you really believe all men are created equal what about midgets how do you explain midgets	hate	{'Other', 'African'}	gab
and germany is on the fast track to be bred into the next iran enjoy your voluntary downfall as your women give birth to more and more muslims	hate	{'Arab', 'Islam'}	gab
study subject jew_4 projects the greatest feat of the north american kike namely that non urban usa is a hotbed of ovens shoah <number> electric boogaloo its panicky neurosis cause it to lash out at the goy claiming the opposite studying such sick pathologies is unpleasant but on i press	hate	{'Jewish'}	gab
do you think america has a gun violence problem in britain they banned guns now they have an acid attack and knife violence problem these are just symptoms of the disease the disease is blacks and muslims you do not see asians doing these things	hate	{'Arab', 'African', 'Islam'}	gab
sharipo is a fucking jew and if you know that kike he plays his jew card everytime the shit goes down ben is a fucking liberal	hate	{'Jewish'}	gab
idc how gay i am when city girls come on it ’ still real ass bitch give a fuck bout a nigga	hate	{'None', 'Homosexual', 'African', 'Women'}	twitter
i don ’ t hate muslims i hate those who pelt st0nes on our police and armed forces and consider us as kafirs	hate	{'None', 'Islam', 'Arab'}	twitter
<user> we need all muslims removed from power before they destroy us all	hate	{'Islam'}	twitter
whites are better than jews and arabs yeah that odin does a much better job than yhwh	hate	{'Caucasian', 'Jewish', 'Arab'}	gab
i bet most germans would rather be bored than raped and killed by migrant monsters	hate	{'Refugee', 'Other'}	gab
<user> grandparents are quite a drain on the budget kill all grandparents	hate	{'Other'}	twitter
<user> <user> hi i hate asians	hate	{'Asian', 'Women', 'Men'}	twitter
i hope joe exotic gets gay raped to death by a tiger netflix	hate	{'None', 'Homosexual', 'Other', 'Men'}	twitter
duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb	hate	{'Other', 'Asian', 'Women', 'Men'}	twitter
gama3a aslun homosexuals should get murdered begad ya3ne yaaaa3 ezay keda uf bakarahom	hate	{'Homosexual'}	twitter
<user> do not treat them jihadi arrest them and shoot them	hate	{'Islam'}	twitter
bhad bhabie we hate your nasty smelly ass	hate	{'None', 'Women'}	twitter
i jus want tha dead presidents 💸 a bitch can wait	hate	{'None', 'Other'}	twitter
we need to start punching arabs for saying the n word	hate	{'Arab'}	twitter
<user> satan isn ’ t a spider negro	hate	{'African'}	twitter
sportsball makes white women fawn over retarded negroes gives retarded negroes millions of dollars turns working class white americans into dumbasses who worship rootless team brands memorize useless stats spend all their money on corn chips and lite beer owned run by people who hate us	hate	{'African', 'Women', 'Caucasian'}	gab
<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭	hate	{'None'}	twitter
russia is a bitch of jews	hate	{'Jewish', 'Women'}	twitter
my mom went out and wore a mask and she said two old men told her that she “ looks like the asians ” i cant believe	hate	{'Asian'}	twitter
<user> camel fucking arabs	hate	{'Men', 'Women', 'Islam', 'Arab'}	twitter
you are not a squishy smolbean you are <number> pounds overweight you fat fucking retard	hate	{'None', 'Other'}	twitter
i did not expect something kike that holy shit i t looks so good	hate	{'None', 'Jewish'}	twitter
<user> stupid nigger kill yourself	hate	{'African'}	twitter
to infiltrate and spread islam they need to fuck off back where they came from	hate	{'Arab', 'Refugee', 'Islam'}	gab
the problem is these church cucks are the ones bringing these so called refugees in where they are a danger to us all just like the stupid women of europe who welcome refugees and then get raped and murdered guarantee this woman would call anyone against refugee resettlement a racist	hate	{'Refugee', 'Women'}	gab
we need to talk sbout how east asians and jews benefit from white privelege i mean no one ever complained about being pulled over for driving while yellow have they	hate	{'Asian', 'Jewish'}	gab
no smuwould not let students put out the flags in rememberance of <number> <number> as they always do guess they didnt want to hurt any of the students feelings you know most universiies want the muslim money hell uof ariz had more camel jockeys	hate	{'Arab', 'African', 'Islam'}	gab
you can surround yourself with a bunch of white virtue signaling bata males all you want but that narrative goes away the second blacks talk about how scared they are just because they lost an election or one cop shoots a black criminal in self defense	hate	{'Men', 'African', 'Women', 'Caucasian'}	gab
<user> <user> kindly check them 😂 they are pakistani cannot export anything better than jihadi terrorists 😄 beggars	hate	{'None', 'Islam', 'Arab'}	twitter
of course this is the most efficient way to solve the too many east south asians problem	hate	{'Other', 'Asian', 'Women', 'Men'}	twitter
george washington would have had you hanged for being a cuck faggot the founders did not create the us constitution for every zipperhead jigaboo dothead kike goatfucker faggot and tranny on the planet	hate	{'Homosexual', 'Jewish', 'African', 'Islam', 'Other', 'Asian'}	gab
what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either	hate	{'Arab', 'Islam'}	gab
illegal immigrants give the middle finger to legal immigrants who worked hard to obey the law guess who supports the criminals liberals illegalimmigrants	hate	{'Refugee', 'Other'}	gab
well obviously they must be a diverse group of morbidly obese transgendered persons some blacks hispanics some veiled muslims a few asians and a white girl i guess and they should replace the dallas cheerleaders	hate	{'Hispanic', 'None', 'Arab', 'African', 'Islam', 'Asian'}	gab
i swear i am convinced that even when the bitch finally dies she will still keep coming around haunting us as some evil ghost a perpetual evil curse on america until some godly force can completely put her us out of her misery crookedhillary theghostofhillary hillary	hate	{'None', 'Women'}	gab
<user> <user> it true im fucking this pawg nurse and in bed we laugh about how they kill all the black corona patients	hate	{'African'}	twitter
oh cause i thought a nigga who sound amp look gay said sum	hate	{'None', 'Homosexual', 'African'}	twitter
as i said <number> years ago all blm will convert to islam then the moslem faggot obama will supply them with the <number> billion hollow point rounds his dhs has hidden then the war starts	hate	{'Homosexual', 'African', 'Islam'}	gab
my twitter account has been suspended for being pro american anti blm respecting our flag boycotting the nfl and for calling lebron james what he is ghetto trash	hate	{'African'}	gab
remember the jews killed jesus n if you don ’ t watch ya back they will kill you too	hate	{'Jewish'}	twitter
<user> <user> you should kill yourself not cos you ’ re trans but because you ’ re fucking retarded	hate	{'Other'}	twitter
<user> bitch stay in your damn nazi lane we do not accept you	hate	{'None', 'Other', 'Caucasian'}	twitter
yes irish people are essentially the blacks of whites and germans are the asians of whites its so obvious ch commenter	hate	{'None', 'Asian', 'African', 'Caucasian'}	gab
another ghetto hell hag who is deeply upset god punished her to live as an ape give her a banana	hate	{'African'}	gab
when someone ask me if i love immigrants i say yes when they are in horizontal position and cold	hate	{'None', 'Refugee'}	gab
<user> <user> modi always a hero who successfully killed muslims ✌ 🏻	hate	{'Islam'}	twitter
it going to get oh so much worse for you faux patriots fake christians pushing jew degeneracy onto our people jealous whore america belongs to us now not you millennial slut bitches go marry a jew if you have not already they love aging gentile whores	hate	{'Christian', 'Jewish'}	gab
<user> muslims just simply should not be in the world	hate	{'Islam'}	twitter
i hope i die cause i am white blacklivesmatter	hate	{'Hispanic', 'Caucasian', 'African'}	twitter
darkskin women niggas ugly bald headed black as asf bad attitude ghetto	hate	{'African', 'Women'}	twitter
<user> lmao lemme go find a stick so i can pay some faggots to fuck you like a faggot faggot	hate	{'Homosexual', 'Other'}	twitter
joke lizard people control the world look at this pic broke jews control the world and the lizard look is just how jews look woke jews control the world and are transforming into lizard people through concentrated sin sloke we are all lizards that were tricked into thinking we are apes	hate	{'Jewish'}	gab
the sunset things about this land of immigrants is that immigrants are not welcome here 🙂 usa donaldtrump	hate	{'Refugee'}	twitter
<user> i hate you	hate	{'None'}	twitter
you have found a handful of outliers who are all as much white as they are black the vast majority of blacks form ghettos and commit most of the crime in the nation they are also a massive tax burden in welfare policing and the prison system	hate	{'African'}	gab
is it we are a global minority we already have a single mother gibs state that institutionalized cuckoldry why should they waste more resources on non whites wife up a white girl take care of your white kids this is not that difficult	hate	{'Refugee', 'Hispanic', 'None', 'Caucasian', 'Arab', 'African', 'Indigenous', 'Asian'}	gab
we are going to kill jews unequivocally and force them breed with niggers and sand niggers and spics	hate	{'Hispanic', 'Arab', 'Jewish', 'African', 'Asian'}	gab
their blood most definitely is on trudeau little beta male hands if motion m <number> becomes a bill it will protect these fucking muslim terrorists when they attack us we will be expected to shut up and put up with it or we will be the ones going to jail	hate	{'Men', 'Islam'}	gab
i like my white skin we discovered america and built it including most inventions sorry niggers beaners and chinks	hate	{'Hispanic', 'Jewish', 'Asian', 'African'}	gab
there studies that show that homo relationships and interracial relationships have higher levels of domestic violence so i have got my fingers crossed that milo mandingo is going to be the nigger faggot version of oj simpson	hate	{'None', 'Homosexual', 'African'}	gab
you love people by telling them to truth and helping them avoid hell faggots need to hear that they should stop being faggots	hate	{'None', 'Homosexual'}	gab
two terror attacks on anglo american cities in one night when is enough enough tolerance is the virtue of a dying society trump better come down hard a moslem ban is a good start but we need an exit strategy we need to deport all moslems now lasvegas canadaterrorattack edmonton	hate	{'Arab', 'Islam'}	gab
meh even if you are wrong about moslem shitskins committing the latest attack you will probably be right about the next one also why does a <number> year old white guy shoot up a country music concert sounds like the latest james hodgekinson to me	hate	{'Islam'}	gab
no sand niggers no terror pretty straightforward	hate	{'Islam', 'Arab'}	gab
lol you can not be this stupid shitskin even when you count the fact there are way more white men than black niggers still outrape them niggers are wild animals that should be in africa	hate	{'African'}	gab
remove all muslims and niggers and kikes from the united states of america this is the appropriate response to what these animals have been doing to human beings	hate	{'Jewish', 'African', 'Islam'}	gab
i forgot to add those poor palestinian towel heads we will ask them how peaceful these so called rat jews are i do not think they will say the jew is very peaceful	hate	{'Jewish', 'Arab'}	gab
wonder if amsterdam red light district has changed the sand niggers just love pussy but they prefer rape to a commercial arrangement makes them feel like the men they are not inbred scum kill em	hate	{'Men', 'Islam', 'Arab'}	gab
this faggot vegan on dr phil yesterday is your typical urban cuck who votes for the national liberal party in your country 🙈 🙈 gabfam speakfreely	hate	{'None', 'Homosexual', 'Other'}	gab
i like how they have to specifically say non hispanic in white categories on graphs because the kikes will lump anyone in with us to make our numbers worse	hate	{'Hispanic', 'Jewish'}	gab
blacktivists ignorantly demand that white people who do not and have not owned slaves need to pay reparations to black people who are not and have not been slaves how bout you just get jobs and pay for your own shit ghetto rats	hate	{'African'}	gab
these deer in the headlights idiots were the contenders to lead canada third most popular party the ndp socialist and stupid by nature the raghead won because race trumps gender but the wog bitch is pulling a hillary it was misogyny eh the two white guys never had a chance	hate	{'Caucasian', 'Women', 'Arab'}	gab
beta males and their feminist masters yammer on about the morality of sex being nice and how women are the real victims while mexican alpha breed them out of existence virtue signaling will not propagate your genes only subjugating women and putting buns in the oven early and often	hate	{'Hispanic', 'Other', 'Women', 'Men'}	gab
it was mostly beaners and asians with the occasional nog	hate	{'Hispanic', 'Asian', 'African', 'Arab'}	gab
multiple kinds of strengths modesty is one i lack you sorta have to though when i get called an ugly world destroying kike whore commenting that they have a valid point is probably unproductive	hate	{'Jewish', 'Women'}	gab
getting angry at blacks is like getting angry at retards for being retarded	hate	{'Other', 'African'}	gab
the choice facing western women is not the burka or the brothel but the clitorectomy or the cloister whitesharia	hate	{'Women', 'Islam'}	gab
lasvegasshooting lasvegas who do u trust isis fbi msm so far isis greater credibility and now dominate narrative in muslim world what westerners believe utterly irrelevant isis winning muslim hearts and minds who dominate through rape crime impudence violence in modern west	hate	{'Islam'}	gab
fuck syria and sand niggers	hate	{'Islam', 'Arab'}	gab
this shit is mine now sand nigger	hate	{'Arab'}	gab
muzzeez do not like dogs blax hate whites blax love to harrass whites and play the ghetto lotto take your pick	hate	{'African', 'Islam', 'Caucasian'}	gab
the only way for world peace is to get rid of all jews if you have not learned this yet just look around and see who is behind every nasty event ever after ww2 its the jews	hate	{'Jewish'}	gab
damn i wish it was that easy new laundry detergent it will turn a nigger into an asian in <number> seconds flat	hate	{'Men', 'Arab', 'Women', 'African', 'Asian'}	gab
no white person should ever work for any jew not ever for any reason	hate	{'Jewish', 'Caucasian'}	gab
soon the season low will be an all time low for the negro felon league negrofelonleague burnthenfl	hate	{'Women', 'African', 'Men'}	gab
i want a huge trump nigger scandal and the jews i want people saying yeah you know trump is right – i am sick of these niggers and kikes also	hate	{'Jewish', 'African'}	gab
<number> specifically the male acquiescence to female liberation has resulted in this current conundrum in order to solve the current conundrum women must be de liberated by having their decision making privileges removed	hate	{'Women'}	gab
if we send all the negroes to liberia as that negro claimed to desire would you be willing to go run the place for them	hate	{'Indigenous', 'African', 'Heterosexual', 'Men'}	gab
islamists are born from incestuous relationships <number> of incestuous births die from horrendous birth defects the other <number> survive with mush for brains and only have capacity for violence and rape the vilest humans on earth	hate	{'Arab', 'Women', 'Men', 'Islam'}	gab
good thing too or the place would have more sand niggers than the fucking sahara	hate	{'African', 'Arab'}	gab
sickening no amount of cultural marxism will negate the hereditary sub saharan iq send the niggers to liberia or elsewhere in mother africa where they just might perhaps survive on their own highly unlikely no tribe no identity send them back wattle huts short lifespans	hate	{'African', 'Arab'}	gab
no one cares what that overpaid wigger thinks	hate	{'Caucasian', 'African'}	gab
well yeah they had to build the spaceships and than use them to construct the pyramids that a lot of hard work them niggers were doing	hate	{'African', 'Arab'}	gab
well the bible says david was a fair and ruddy boy and jesus is directly descended from the line of david so that does not sound like a nigger to me maybe you should read the bible and stop watching kike propaganda	hate	{'Jewish', 'African', 'Caucasian'}	gab
weak milquetoast faggots like you will never change america you are just another civic nationalist cuckold pussy too scared to even talk about race because you are such a chickenshit so scared like a woman of being called a wayciss or a white supwemasiss lol what a nutless coward	hate	{'Homosexual', 'Women', 'Caucasian'}	gab
no they do not if what you consider to be races you refer to negroes caucasians and asians mongoloids i assure you that i attend churches of christ with all three represented	hate	{'Asian', 'African', 'Caucasian'}	gab
the black race cultured by violence is tone deaf on rape which happens to blacks everyday	hate	{'African'}	gab
i thought the semitic jews had the same iq as the arabs but its the non semitic ones that are high iq	hate	{'Jewish', 'Islam', 'Arab'}	gab
why do not you move to the ghetto if you like blacks so much	hate	{'None', 'African'}	gab
personally i would prefer to see chimps with rpgs move into the house next door than let more muslims have access to nuke technology people who think more muzzies with a bombs would be wonderful can explain themselves	hate	{'Refugee', 'Asian', 'African', 'Islam'}	gab
danish pm giving us the gift of infinity niggers and arabs	hate	{'African', 'Arab'}	gab
fucking degenerate faggots	hate	{'None', 'Homosexual', 'Other'}	gab
jews and arabs will destroy america	hate	{'Caucasian', 'Jewish', 'Islam', 'Arab'}	gab
another voat gem i think we should start shaming the pro diversity people that do not live in the middle of a ghetto like they are advocating	hate	{'None', 'African'}	gab
my mama told me it wrong to hate people so i just want you all to know i do not hate jews niggers faggots dykes fat bitch feminest cucks ragheads or illegals but i really really really fucking dislike them they should all die of ghoneria and rot in hell	hate	{'Refugee', 'Men', 'Hispanic', 'Arab', 'Homosexual', 'Women', 'Jewish', 'African', 'Islam'}	gab
nigger kike spic chink faggot pussy cunt bitch sandnigger jap nip leaf fuck shit crap queer jews aa	hate	{'Hispanic', 'Arab', 'Homosexual', 'Jewish', 'African', 'Asian'}	gab
girls are joining boyscouts now better be so they can bring them sandwiches like real women	hate	{'Other', 'Women'}	gab
there are quite a few details that lead me to believe this was a queer on queer murder so it dont matter sure doesnt deserve a gab sidebar	hate	{'Homosexual'}	gab
the only reason why i support electric cars is because we need to stop funneling money to these retarded camel jockeys alternatively we can just invade their countries and genocide them but somehow i think that is less likely to happen	hate	{'Islam', 'Arab'}	gab
fuck muslimes and fuck islame go back to your own shithole country if you want sharia crap	hate	{'Arab', 'Islam'}	gab
boom should have sent that text made that phone call sooner i am out of this bitch by the end of november fuck this ghetto ass hoe	hate	{'African', 'Women'}	gab
my muslim pal asked me what it was like to be drunk oh you just make a cunt of yourself talk shit and want to fight the world i told him so it just like islam then he replied	hate	{'Islam'}	gab
when that rag head nadiya won the great british bake off the media described her as moslem but the child rapists in rotherham were called asian moslem when their baking asian when their raping	hate	{'Arab', 'Asian', 'Other', 'Islam'}	gab
well of course it does jews invented feminism that all jews do destroy shit they openly admit they destroy shit	hate	{'Women', 'Jewish', 'Men'}	gab
you have no idea what being american means because you are clearly not one it would be like a chinaman going to india stirring up lots of trouble exploiting the locals and then complaining bombastically that the indians complaining about this were being anti chinese and unindian get stuffed	hate	{'Hindu', 'Asian', 'Other'}	gab
sorry tom you are wrong the qur an haddiths sanction rape mohammed himself raped many women including the <number> year old aisha he was poisoned by a jewess he had raped after murdering her husband the qur an encourages the rape of unbelievers it is the religion of satan	hate	{'Jewish', 'Islam'}	gab
so holocaust denial is now a crime in germany and the jews at aipac are now pushing for american laws that make it illegal to boycott israel then i say it is open season on jews once again fuck their shapeshifting perfidious seditious tribal destructive ways jewishfilth	hate	{'Women', 'Jewish', 'Men'}	gab
sorry moving to se rural ok soon an area where no niggers or other pocs except a few choctaw no bad gun laws low taxes hardly any people except a few rednecks plenty of fish hogs and deer no one gaf what you do	hate	{'African'}	gab
death2fags we r pleased to have met righteous fag bashers beating such park queers even against massive statist agentsofsodom	hate	{'Homosexual'}	gab
willard spratt willard spratt <number> hours ago these thugs do not have enough sense to understand what there doing we need more white players anyway let them go back to ghetto and shoot one another ﻿	hate	{'African'}	gab
nigger thinks there is absolute freedom maybe relatively speaking for billionaires but otherwise no especially for nappy haired ghetto groids	hate	{'Other', 'African'}	gab
why can not women be catholic priests because you can not shove a vagina up a little boy arse	hate	{'Christian', 'Homosexual', 'Women', 'Men'}	gab
i am thinking of a new old social system <number> only women can own land <number> man job is to maintain and improve the land <number> only men have political power <number> niggers obey or leave <number> jews will volunteer for the ovens <number> fill in the blanks	hate	{'Women', 'Jewish', 'African', 'Men'}	gab
to do that you gota get rid of the niggers and jews spics arabs etc etc so hurry up	hate	{'Hispanic', 'Jewish', 'African', 'Arab'}	gab
i hope she gets gang raped by niggers	hate	{'African', 'Women'}	gab
the left hinges entirely on the notion that white people are obligated to share any homeland with niggers muslims jews latinos hispanics indians hindus etc asians and any other brown or black third worlders maga altright	hate	{'Hindu', 'Refugee', 'Hispanic', 'Caucasian', 'Arab', 'African', 'Jewish', 'Islam', 'Asian'}	gab
experimental treatment put weinstein in prison force him to rape <number> sheboons a day be raped by <number> black thugs a day for a few years might work might not but who cares	hate	{'None', 'African', 'Islam'}	gab
so now that isis is defeated all the sand niggers can go home and stop raping and murdering their way through western countries right	hate	{'Refugee', 'African', 'Arab'}	gab
do not worry as long as there are two people in the world there will be war just look at how christians want to shed black and muslim blood just to keep america bleached	hate	{'Christian', 'African', 'Islam'}	gab
the patriotards who castigate us for saying the kikes need to be exterminated are too stupid to live in the real world when savage enemies are slaughtering your people only pathetic faggots wring their hands over the evil of killing them	hate	{'Women', 'Homosexual', 'Jewish', 'Men'}	gab
you can say you want to kill the president on twitter but you can not call people cunts the absolute fucking state of gay social media kill jack dorsey how about that fucking nigger	hate	{'Homosexual', 'African', 'Men'}	gab
sounds like south carolina has some young dindu marksmen wondering if i could find a <number> year old in texas that can beat your negro for his marksman badge you sure do have a lot of negro talent in south carolina bribe him with this	hate	{'African'}	gab
nope never claimed to be a kang that what niggers do i am just a regular guy who wants my country back and who does not want <number> white women a day to get raped by niggers which is what currently happens in this country	hate	{'Women', 'African', 'Men'}	gab
i am not denying that romans physically killed jesus you are denying that the jews ordered his murder you are a lying kike	hate	{'Jewish'}	gab
if it true that the smarter should wipe out the dumber and that white people are dumber than asians then it in white people bests interests to wipe out the asians before they wipe us out either that or keep some niggers around	hate	{'None', 'Asian', 'Arab'}	gab
this raghead is a brick short of a load	hate	{'Other', 'Arab'}	gab
there is no need for immigrants to assimilate into canadian culture but those that refuse will be deported back to the shit hole these savage illiterate low iq inbred retards came from or we can simply execute these human waste	hate	{'Refugee', 'Men', 'Arab', 'Other', 'Women', 'Islam'}	gab
i wasn t aware that having a cogent message was cultish you are right we should go back to whining and asking leftists and jews but i repeat myself to kill us slower	hate	{'None', 'Jewish'}	gab
you can take the nigger out of the ghetto send him to college for free to play football but not go to class then give him millions of dollars to play a sport for <number> months but you can not take the ghetto out of the nigger	hate	{'Other', 'African'}	gab
whites must adjust to reality to forever dirty war where niggers kill rob and rape them usually their weak and most defenseless in the thousands annually because that is how it is sigh	hate	{'Women', 'African', 'Men'}	gab
and if u have to drink and drive make sure u drive home through as many nigger ghettos as possible 🎓	hate	{'African'}	gab
does the nfl still think poor blacks faggots dykes and hillary supporters are going to fill their stadiums look again maga gabfam news	hate	{'Homosexual', 'African', 'Women'}	gab
white women have really fucked this country up we will be a lot better off when they are extinct	hate	{'Caucasian', 'Women'}	gab
very nice that you can correct gabs i guess on gab gab spelling like a retard because of all this craziness maga	hate	{'None', 'Homosexual', 'Other'}	gab
yeah but you faggots are all pedos does your alt hero save the day and get to rape the <number> year old better tread lightly cunt or we will turn your fucking comics into ben one man auschwitz garrison style and make them more famous than you	hate	{'None', 'Homosexual', 'Women'}	gab
i have a suggestion for all white people that hate white people offer yourselves up as donors for heart transplants put an end to your miserable white life and save a dying muslim that way you can feel good about surrendering your life for a cause you love	hate	{'Other', 'Caucasian', 'Islam'}	gab
i am going to build you a brother fuck the sandniggers the arabs are pigs and here you are defending them these arabs are the ones raping your precious europeans but let not blame the muslims cuz muh zionists in israel did this bitch you are a cuck	hate	{'Caucasian', 'Arab', 'Jewish', 'Women', 'Islam'}	gab
lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots	hate	{'Men', 'Homosexual', 'Women', 'Jewish', 'Other'}	gab
as you wish i am not a natsoc i believe in every race right to self determination and a homeland you appear to believe jews do as well and ignore thousands of years of behavior and their talmud in the process	hate	{'Jewish'}	gab
no kike should ever feel at home or welcome on this site	hate	{'Jewish'}	gab
camel raping sandniggers lazy dumb niggers and dirty tacobending beaners inspire me	hate	{'Hispanic', 'Other', 'African', 'Arab'}	gab
kevin spacey comes right out with it confessed he preyed on a teenage actor tries to immediately deflect by coming out sure i may have preyed on teenage boys but hey at least i am openly gay now a homosexual through and through	hate	{'Homosexual', 'Other'}	gab
the non apology apology respect for rapp as an actor not as a person talks about romantic relationships with men and women not sexual assault of a boy pederasty and homosexuality go hand in hand hiding behind socially accepted perversity to cover unacceptable pederasty	hate	{'Homosexual', 'Other'}	gab
i am sorry but very nice people have assured us that before the evil lbj snookered blacks onto his ghetto reservations they never committed any crimes were doing better than whites and were busy working on cold fusion	hate	{'African', 'Caucasian'}	gab
if you are more ghetto than a black girl you should end your life	hate	{'Refugee', 'African'}	gab
in the <number> <number> police hated pakis as we all did but it was the police who saw the results of pakis who battered and raped wives and daughters and prostituted them police thought any white girl with a paki was scum and deserved all she got	hate	{'Refugee', 'Men', 'Caucasian', 'Arab', 'Women', 'Islam'}	gab
no pedo bashing how many times can these faggots jump the shark	hate	{'Homosexual'}	gab
bare naked islam brought to you by the bare naked ladies	hate	{'None', 'Women', 'Islam'}	gab
be funny to watch people try to expel muzzies from bosnia and croatia best of luck to the suicidal inclined	hate	{'Men', 'Women', 'Islam', 'Arab'}	gab
yes it does at our offices we do not do business with muslim cockroaches	hate	{'Islam'}	gab
<number> hours since a filthy muslim appeased allah and his imam by murdering americans and immediately the mayor is playing new yorkers into behaving like nothing has happened ffs america avenge new yorkers	hate	{'Islam'}	gab
give me three raghead desert fuckers i can teach and whip those fuckers into americanism	hate	{'Islam', 'Arab'}	gab
islam must be eliminated	hate	{'Islam', 'Arab'}	gab
fuck muslim immigrants when the shit finally hits the fan the muslim immigrants will run from our country i bet you that	hate	{'Refugee', 'Men', 'Arab', 'Women', 'Islam'}	gab
saying faggots are degenerate and speaking of their foul activities is the msm mindset what the fuck are you smoking the media bends over backwards to make excuses for their disgusting acts how do the acts of the others you are speaking of negate those of the faggots pray tell	hate	{'Homosexual', 'Women'}	gab
and all it takes is <number> muslim terrorist to kill how many yesterday and <number> muslim terrorists killed <number> on <number> <number> i wonder how many <number> per year will kill and how many will not be democrats	hate	{'Islam'}	gab
upon successfully destroying europe and establishing berlin seat of european communist aka jew control while occupying israhell jews position themselves for complete takeover of us	hate	{'Other', 'Jewish', 'Islam'}	gab
kick out the niggers and spics too they are all bottom feeders compared to whites and asians	hate	{'Hispanic', 'Asian', 'African', 'Caucasian'}	gab
<user> talked about this they have high self confidence because their brains release more serotonin for lower levels of accomplishment that why you can have a bunch of dumb niggers in an african slum with giant smiles on their faces they are too dumb to grasp their own stupidity	hate	{'Women', 'African', 'Men'}	gab
so the revolution is a bunch of obese femnazis ghetto retards and skinny jean wearing weak wristed sjw men holding signs one in a unicorn costume with an army of police protection yep you sure showed america what retards you are november 4th nov4 november4	hate	{'Homosexual', 'Other', 'African', 'Women'}	gab
<user> <user> we will probably never really know the true depth of his faggot depravity and his scumbag pedophilia and i honestly do not want to know anymore about his demonic psychosis all homos are pedos some just hide it control it better than others	hate	{'Homosexual'}	gab
<user> a no pedo bashing sign at some leftist march recently this is exactly how harmful and cruel the leftists are they are encouraging faggots and other deviants to act out their perversions whereas pedo bashing provides valuable free life lessons to the less fortunate	hate	{'Homosexual', 'Other'}	gab
do not worry she will not die the christians are letting niggers into heaven	hate	{'Christian', 'African'}	gab
ffs people do unto others does not let foreigners and niggers come to your country and screw your daughters	hate	{'Women', 'Refugee', 'African', 'Men'}	gab
meh is a hybrid of some weird variety added smidgen of white admixture just enough to make him think he better than the average sandnigger he got a real thing for dothead trannies why he wants to talk to nazis like you and anglin is just perverted	hate	{'Homosexual', 'Other', 'Arab'}	gab
makes you wonder who looked at this and thought wow this place really needs more niggers and camel jockeys	hate	{'African', 'Arab'}	gab
<number> good reason every american needs assault rifle and lots of ammo they rile them up and then the refugees rush to other countries to blow off their steam by bombing raping killing thieving be prepared never give an inch	hate	{'Refugee'}	gab
<number> years ago the germans were anti zionists but jews smeared them as nazis a term coined by jews which means simpleton to bury the term anti zionist if youve been called a nazi it means youre feeling the toxic effect of zionism but jews dont want you to call yourself anti zionist	hate	{'Other', 'Jewish'}	gab
australia majority of migrants in muslim ghetto areas can not speak english oh good so thats why they never react to my polite stop breeding or feral or whatever of course they could just be biding their time with bloody great knives under those burkas just waiting on demographic shift	hate	{'Arab', 'Islam'}	gab
this whole world has went to shit with all this marxist bs twitter shadowbanned me last yr and i am off for the next day because i called michelle aka michael obama a ghetto bitch	hate	{'African', 'Women'}	gab
what do you get when you cross a black and a mexican someone who to lazy to steal hear about the retarded gang member he d tag chain link fences with graffiti	hate	{'Hispanic', 'Other', 'African'}	gab
